 -4.99 , 2057283.32
 -4.87 , 1682542.69
 -4.84 , 1598765.09
 -4.73 , 1321933.02
 -4.70 , 1254126.94
 -4.58 , 1012332.90
 -4.43 , 768071.96
 -4.40 , 725952.23
 -4.38 , 699006.69
 -4.35 , 660228.17
 -4.14 , 437509.07
 -4.05 , 364297.91
 -3.78 , 204714.22
 -3.77 , 200223.85
 -3.68 , 163524.21
 -3.67 , 159836.35
 -3.58 , 129760.95
 -3.52 , 112571.71
 -3.48 , 102246.76
 -3.10 , 38434.21
 -3.09 , 37390.75
 -2.89 , 21112.17
 -2.80 , 16086.10
 -2.78 , 15125.14
 -2.72 , 12526.81
 -2.70 , 11752.73
 -2.55 , 7149.23
 -2.54 , 6909.54
 -2.51 , 6226.38
 -2.39 , 4043.35
 -2.35 , 3483.16
 -2.22 , 2091.78
 -2.19 , 1851.13
 -2.09 , 1208.48
 -2.08 , 1156.40
 -2.06 , 1057.65
 -1.96 , 664.40
 -1.54 ,  55.83
 -1.37 ,  10.95
 -1.22 ,   0.31
 -1.07 ,  -1.02
 -0.94 ,  -0.08
 -0.64 ,   1.91
 -0.36 ,   4.06
 -0.13 ,   5.30
 -0.02 ,   6.68
  0.02 ,   4.73
  0.15 ,   7.17
  0.18 ,   6.78
  0.19 ,   7.04
  0.34 ,   7.75
  0.43 ,   9.82
  0.49 ,  10.52
  0.57 ,  12.88
  0.69 ,  17.32
  0.75 ,  19.44
  0.76 ,  19.11
  0.78 ,  21.00
  0.85 ,  27.08
  1.08 ,  69.93
  1.36 , 254.51
  1.39 , 291.23
  1.40 , 304.63
  1.42 , 335.00
  1.49 , 454.11
  1.50 , 476.13
  1.60 , 727.96
  1.75 , 1339.40
  1.82 , 1758.67
  1.88 , 2209.12
  1.99 , 3305.04
  2.13 , 5383.78
  2.18 , 6369.28
  2.22 , 7268.19
  2.42 , 13666.92
  2.48 , 16372.86
  2.55 , 20116.67
  2.68 , 29108.08
  2.73 , 33410.50
  2.84 , 44894.57
  2.98 , 64436.00
  3.21 , 112928.78
  3.26 , 126951.35
  3.33 , 149142.11
  3.35 , 156077.55
  3.41 , 178608.62
  3.58 , 258670.46
  3.86 , 459875.17
  3.90 , 497662.07
  3.93 , 527759.92
  3.99 , 592779.35
  4.00 , 604272.24
  4.08 , 703465.89
  4.25 , 962778.55
  4.54 , 1601165.85
  4.67 , 1991199.00
  4.69 , 2058049.85
  4.83 , 2583631.08
  4.86 , 2710431.50
  4.96 , 3173341.58
